goodreads_book_id,isbn,authors,original_publication_year,original_title
1162543,031606792X,Stephenie Meyer,2008,Breaking Dawn
37435,142001740,Sue Monk Kidd,2001,The Secret Life of Bees
2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn
24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web
1618,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time
22557272,1594633665,Paula Hawkins,2015,The Girl on the Train
119322,679879242,Philip Pullman,1995,Northern Lights
6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights
10917,743454537,Jodi Picoult,2004,My Sister's Keeper
4981,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death "
18405,446675539,Margaret Mitchell,1936,Gone with the Wind
128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns
22628,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower
11735983,7442912,Veronica Roth,2012,Insurgent
375802,812550706,Orson Scott Card,1985,Ender's Game
18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus"
11588,450040186,Stephen King,1977,The Shining
1656001,316068047,Stephenie Meyer,2008,The Host
99561,142402516,John Green,2005,Looking for Alaska
227443,014028009X,Helen Fielding,1996,
14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility
38709,439244196,"Louis Sachar, Louis Sachar",1998,Holes
5139,307275558,Lauren Weisberger,2003,The Devil Wears Prada
1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια
157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince
7445,074324754X,Jeannette Walls,2005,The Glass Castle
1845,385486804,Jon Krakauer,1996,Into the Wild
1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities
7677,030734813X,Michael Crichton,1990,Jurassic Park
370493,60256656,Shel Silverstein,1964,The Giving Tree
32542,385338600,John Grisham,1989,A Time to Kill
1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign
6442769,014241493X,John Green,2008,Paper Towns
21787,345418263,William Goldman,1973,The Princess Bride
231804,014038572X,S.E. Hinton,1967,The Outsiders
6186357,385737947,James Dashner,2009,The Maze Runner
1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden
320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad
5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray
13536860,345803507,E.L. James,2012,Fifty Shades Freed
17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula
5060378,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden
11857408,1612130585,E.L. James,2011,Fifty Shades Darker
7244,60786507,Barbara Kingsolver,1998,The Poisonwood Bible
4137,349113912,David Sedaris,2000,Me Talk Pretty One Day
19543,99408392,Maurice Sendak,1963,Where the Wild Things Are
7126,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo
6288,307265439,Cormac McCarthy,2006,The Road
18710190,7524277,Veronica Roth,2013,Allegiant
3473,446693804,Nicholas Sparks,1999,A Walk to Remember
9416,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic
24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables
10572,553381695,George R.R. Martin,1998,A Clash of Kings
10441,143037145,Kim Edwards,2005,The Memory Keeper's Daughter
15507958,670026603,Jojo Moyes,2012,Me Before You
168668,684833395,Joseph Heller,1961,Catch-22
6900,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie
2187,312422156,Jeffrey Eugenides,2002,Middlesex
24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer
18131,440498058,Madeleine L'Engle,1962,A Wrinkle in Time
7763,143038095,Amy Tan,1989,The Joy Luck Club
38447,038549081X,Margaret Atwood,1985,The Handmaid's Tale
452306,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants
37442,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West
5358,582418275,John Grisham,1991,The Firm
7937843,316098337,Emma Donoghue,2010,Room
1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark"
234225,340839937,Frank Herbert,1965,Dune
2612,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference
11084145,1451648537,Walter Isaacson,2011,Steve Jobs
332613,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest
2165,684830493,Ernest Hemingway,1952,The Old Man and the Sea
4395,142000663,John Steinbeck,1939,The Grapes of Wrath
3431,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven
8127,451528824,L.M. Montgomery,1908,Anne of Green Gables
3777732,1416914307,Cassandra Clare,2009,City of Glass
62291,055357342X,George R.R. Martin,2000,A Storm of Swords
137791,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood
10964,440242940,Diana Gabaldon,1991,Outlander
12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter
9460487,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children
6892870,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes
18007564,804139024,Andy Weir,2012,The Martian
5043,451207149,Ken Follett,1989,The Pillars of the Earth
18143977,1476746583,Anthony Doerr,2014,
8664353,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
976,671027387,Dan Brown,2001,Deception Point
17333223,316055433,Donna Tartt,2013,The Goldfinch
1217100,1595141715,Jay Asher,2007,Thirteen Reasons Why
2865,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring
4374400,525421033,Gayle Forman,2009,If I Stay
4989,312353766,Anita Diamant,1997,The Red Tent
28186,786856866,Rick Riordan,2006,The Sea of Monsters
5526,446528056,Nicholas Sparks,2006,Dear John
1582996,1416914293,Cassandra Clare,2008,City of Ashes
8852,743477103,William Shakespeare,1606,The Tragedy of Macbeth
15241,618346260,J.R.R. Tolkien,1954,The Two Towers
42156,031232118X,Emily Giffin,2004,Something Borrowed
23772,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham
6310,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory
2120932,1423101464,Rick Riordan,2008,The Battle of the Labyrinth
2623,192833596,Charles Dickens,1860,Great Expectations
18512,345339738,J.R.R. Tolkien,1955,The Return of the King
7736182,142311339X,Rick Riordan,2010,The Lost Hero
15745753,1250012570,Rainbow Rowell,2013,Eleanor & Park
13497,055358202X,George R.R. Martin,2005,A Feast for Crows
7735333,525423648,Ally Condie,2010,Matched
4407,747263744,Neil Gaiman,2001,American Gods
149267,385199570,"Stephen King, Bernie Wrightson",1978,The Stand
6400090,446547565,Nicholas Sparks,2008,The Last Song
11125,552151696,Dan Brown,1998,Digital Fortress
6969,141439580,"Jane Austen, Fiona Stafford",1815,Emma
15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина
227463,393312836,Anthony Burgess,1962,A Clockwork Orange
1812457,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity
4502507,739380338,Rick Riordan,2009,The Last Olympian
18342,451169514,Stephen King,1986,It
7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание
6514,61148512,Sylvia Plath,1963,The Bell Jar
252577,7205236,Frank McCourt,1996,Angela's Ashes: A Memoir
52036,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha
168642,679745580,Truman Capote,1965,In Cold Blood
6304335,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures
7171637,1416975861,Cassandra Clare,2010,Clockwork Angel
39988,141301066,"Roald Dahl, Quentin Blake",1988,Matilda
9361589,385534639,Erin Morgenstern,2011,The Night Circus
37470,743227441,Philippa Gregory,2001,The Other Boleyn Girl
24770,689865384,Scott Westerfeld,2005,Uglies
33,618640150,J.R.R. Tolkien,1955,The Lord of the Rings
12262741,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail 
472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen
186074,075640407X,Patrick Rothfuss,2007,The Name of the Wind
3228917,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success
153747,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale"
2728527,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society
5759,393327345,Chuck Palahniuk,1996,Fight Club
301082,441008534,Charlaine Harris,2001,Dead Until Dark
11486,671727796,Alice Walker,1982,The Color Purple
12691,739461192,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog
16299,312330871,Agatha Christie,1939,Ten Little Niggers
6411961,385504225,Dan Brown,2009,The Lost Symbol
6339664,1416989412,Becca Fitzpatrick,2009,"Hush, Hush"
5326,1561797464,Charles Dickens,1843,A Christmas Carol
43763,345476875,Anne Rice,1976,Interview with the Vampire
10507293,62059939,Kiera Cass,2012,The Selection
6853,312362080,Janet Evanovich,1994,One for the Money
6493208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks
23807,99446782,Thomas Harris,1988,The Silence of the Lambs
345627,159514174X,Richelle Mead,2007,
40102,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking
6867,038572179X,Ian McEwan,2001,Atonement
485894,553213695,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung
561456,141382899,Rick Riordan,2007,The Titan's Curse
9969571,030788743X,Ernest Cline,2011,
3153910,1554681723,Garth Stein,2006,The Art of Racing in the Rain
21996,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
13572249,425263908,Sylvia Day,2012,Bared to You
11127,66238501,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia
3609760,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion
60748,1558743669,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive"
7869,752864327,Robert Ludlum,1980,The Bourne Identity
249747,786817879,Eoin Colfer,2001,Artemis Fowl
6487308,385738935,Lauren Kate,2009,Fallen
4406,142000655,John Steinbeck,1952,East of Eden  
5886881,307341569,Gillian Flynn,2009,Dark Places
5359,385339089,John Grisham,1993,The Client
228333,312291639,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries
24213,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland
2156,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion
556602,312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah
43615,452284694,Stephen King,1982,The Gunslinger
9712,140003468X,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera
439288,014131088X,Laurie Halse Anderson,1999,Speak
17802724,399159347,Liane Moriarty,2013,The Husband's Secret 
1898,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster
10592,1416524304,Stephen King,1974,Carrie
242006,031242227X,Augusten Burroughs,2002,Running with Scissors
8908,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War
17212231,385537859,Dan Brown,2013,Inferno
47281,440227534,Lois Lowry,1989,Number the Stars
13145,446692638,James Patterson,1993,Along Came a Spider
10614,450417395,Stephen King,1987,Misery
66559,307341542,Gillian Flynn,2006,Sharp Objects
2839,439366771,Katherine Paterson,1977,Bridge to Terabithia
30183,312360266,"P.C. Cast, Kristin Cast",2007,Marked
36072,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People
1622,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream
4588,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close
11387515,375869026,R.J. Palacio,2012,Wonder
233093,039480001X,Dr. Seuss,1957,The Cat in the Hat
11235712,312641893,Marissa Meyer,2012,Cinder
16160797,316206849,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling
6068551,545123267,Maggie Stiefvater,2009,Shiver
662,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged
49436,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea 
13023,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,
1232,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,La sombra del viento
7631105,385738757,James Dashner,2010,The Scorch Trials
480479,767900383,Frances Mayes,1996,Under the Tuscan Sun
19486412,399167064,Liane Moriarty,2014,Big Little Lies
24337,590920685,Gail Carson Levine,1997,Ella Enchanted
3876,743297334,Ernest Hemingway,1926,The Sun Also Rises
14891,61120073,Betty  Smith,1943,A Tree Grows In Brooklyn 
13148,446677388,James Patterson,1995,Kiss the Girls
21853621,312577222,Kristin Hannah,2015,The Nightingale
6334,1400078776,Kazuo Ishiguro,2005,Never Let Me Go
366522,786890754,Cecelia Ahern,2003,"PS, I Love You"
12873,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca
18373,156030306,Daniel Keyes,1966,Flowers for Algernon
6952,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Como agua para chocolate
1103,812968069,Lisa See,2005,Snow Flower and the Secret Fan
22034,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather
49750,525476881,John Green,2006,An Abundance of Katherines
29579,553803719,Isaac Asimov,1951,Foundation
15783514,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane
30118,60513063,Shel Silverstein,1981,A Light in the Attic
29056083,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two"
11614718,61726834,Lauren Oliver,2011,Delirium
32499,385339704,John Grisham,1992,The Pelican Brief
17061,61139378,Neil Gaiman,2002,Coraline
12067,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
70401,140042598,Jack Kerouac,1955,On the Road
16181775,1476729085,Graeme Simsion,2013,The Rosie Project
3063499,446579939,Nicholas Sparks,2008,The Lucky One
2122,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead
19691,425172902,Tom Clancy,1984,The Hunt for Red October
76620,038039586X,Richard Adams,1972,Watership Down
10335308,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns)
3591262,375414495,Abraham Verghese,2009,Cutting for Stone
140225,006112527X,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader
295,753453800,Robert Louis Stevenson,1882,Treasure Island
9520360,1423140591,Rick Riordan,2011,The Son of Neptune 
10644930,1451627289,Stephen King,2011,11/22/63
4948,241003008,Eric Carle,1969,The Very Hungry Caterpillar
135479,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle
2493,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine
7933292,849946158,"Todd Burpo, Lynn Vincent",2010,
39999,385751060,John Boyne,2006,The Boy in the Striped Pyjamas
4900,1892295490,Joseph Conrad,1899,Heart of Darkness
7812659,044654759X,Nicholas Sparks,2010,Safe Haven
52529,1582701709,Rhonda Byrne,2006,The Secret
227711,60987561,Wally Lamb,1998,I Know This Much Is True 
10583,1416524347,Stephen King,1983,Pet Sematary
5203,671021001,Wally Lamb,1992,She's Come Undone
1215032,756404738,Patrick Rothfuss,2011,The Wise Man's Fear
33724,440241901,Sophie Kinsella,2003,Can You Keep a Secret?
6752378,1442403543,Cassandra Clare,2011,City of Fallen Angels
14748,743418174,Jennifer Weiner,2001,Good in Bed
3412,380018179,Colleen McCullough,1977,The Thorn Birds
2213661,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book
13158800,1451681739,M.L. Stedman,2012,The Light Between Oceans
28194,439709105,"Cornelia Funke, Anthea Bell",2003,Tintenherz
4894,91883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?
9791,307279464,Bill Bryson,1997,A Walk in the Woods
13214,553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings
15818107,61950726,Christina Baker Kline,2013,Orphan Train
8755776,1442416866,Cassandra Clare,2012,City of Lost Souls
13526165,316204277,Maria Semple,2012,"Where'd You Go, Bernadette"
10365,375806814,Wilson Rawls,1961,Where the Red Fern Grows
14497,60557818,Neil Gaiman,1996,Neverwhere
9717,571224385,"Milan Kundera, Michael Henry Heim",1984,Nesnesitelná lehkost bytí
4473,552135399,John Irving,1989,A Prayer for Owen Meany
32234,316182540,Janet Fitch,1999,White Oleander
9275658,039925675X,Marie Lu,2011,Legend
14866,743496728,Jodi Picoult,2007,Nineteen Minutes
2318271,1401323251,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture
228665,812511816,Robert Jordan,1990,The Eye of the World
10916,61150142,Jodi Picoult,1998,The Pact
65605,60764902,C.S. Lewis,1953,The magician's nephew
2153405,595440096,Lisa Genova,2007,Still Alice
13596809,425263916,Sylvia Day,2012,Reflected in You
6689,375814248,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach
13137,446696617,James Patterson,2001,1st To Die
13,345453743,Douglas Adams,1996,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
6280118,340896965,David Nicholls,2009,One Day
32929,60775858,"Margaret Wise Brown, Clement Hurd",1947,
7747374,61969559,Pittacus Lore,2010,I Am Number Four
1371,140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,Ἰλιάς
13497818,316228532,J.K. Rowling,2012,The Casual Vacancy
24192,385339690,John Grisham,1996,The Runaway Jury
4138,316777730,David Sedaris,1997,Naked
45978,375840400,Christopher Paolini,2005,Eldest
236093,140621679,"L. Frank Baum, W.W. Denslow",1900,The Wonderful Wizard of Oz
121749,000720230X,C.S. Lewis,1951,Prince Caspian: The Return to Narnia
11590,450031063,Stephen King,1975,Salem's Lot
7745,679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
10025305,1416975888,Cassandra Clare,2011,Clockwork Prince
20910157,62268341,Amy Poehler,2014,Yes Please
12996,743477553,William Shakespeare,1603,"The Tragedy of Othello, The Moor of Venice"
6149,1400033411,Toni Morrison,1987,Beloved
3236307,015206396X,Kristin Cashore,2008,Graceling
78411,439206472,"Lemony Snicket, Brett Helquist",1999,The Bad Beginning
355697,449213943,"Erich Maria Remarque, A.W. Wheen",1929,Im Westen nichts Neues
191139,679805273,Dr. Seuss,1990,"Oh, the Places You'll Go!"
16115612,159463176X,Khaled Hosseini,2012,And The Mountains Echoed
7082,345404475,"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?
18254,141439742,"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist
11149,60652896,C.S. Lewis,1942,A Grief Observed
6936382,525423273,Stephanie Perkins,2010,Anna and the French Kiss
113946,7173040,Dr. Seuss,1957,How the Grinch Stole Christmas!
5805,1401207928,"Alan Moore, David   Lloyd",1990,V for Vendetta
2203,743223136,David McCullough,2001,John Adams
14995,553384287,Dean Koontz,2003,Odd Thomas
119324,679879250,Philip Pullman,1997,The Subtle Knife
22232,439488400,Jerry Spinelli,2000,Stargirl
7090447,1423113381,Rick Riordan,2010,The Red Pyramid
350,441788386,Robert A. Heinlein,1961,Stranger in a Strange Land
10176,965904830,David Sedaris,2004,Dress Your Family in Corduroy and Denim
6319,141311371,"Roald Dahl, Quentin Blake",1982,The BFG
21,076790818X,Bill Bryson,2003,A Short History of Nearly Everything
1852,439227143,Jack London,1903,The Call of the Wild
7864437,385738773,James Dashner,2011,The Death Cure
16793,61142026,Neil Gaiman,1999,Stardust
33917,618485228,Jhumpa Lahiri,2003,The Namesake
8667848,670022411,Deborah Harkness,2011,A Discovery of Witches
11297,375704027,"Haruki Murakami, Jay Rubin",1987,ノルウェイの森 [Noruwei no Mori]
5168,446672211,Billie Letts,1995,Where the Heart Is
6567017,525421580,"John Green, David Levithan",2010,"Will Grayson, Will Grayson"
1241,307276902,James Frey,2003,A Million Little Pieces
2282133,1595141758,Richelle Mead,2008,Frostbite
8520610,307352145,Susan Cain,2012,Quiet: The Power of Introverts in a World that Can't Stop Talking
233818,440439884,Scott O'Dell,1960,Island of the Blue Dolphins
17250,142437336,"Arthur Miller, Christopher Bigsby",1953,The Crucible
50,689840926,Gary Paulsen,1986,Hatchet
68428,076531178X,Brandon Sanderson,2006,Mistborn : The Final Empire
51496,451528956,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886,The Strange Case of Dr Jekyll and Mr Hyde
7784,679889108,Dr. Seuss,1971,The Lorax
389627,810993139,Jeff Kinney,2004,Greg Heffley's Journal
7896527,1599906953,Sarah J. Maas,2012,Throne of Glass
2802316,1595141979,Richelle Mead,2008,Shadow Kiss
46170,684803356,Ernest Hemingway,1940,For Whom the Bell Tolls
3367956,345505336,Jamie Ford,2009,Hotel on the Corner of Bitter and Sweet
343,140120831,"Patrick Süskind, John E. Woods",1985,Das Parfum. Die Geschichte eines Mörders
1097,60838582,Eric Schlosser,2001,Fast Food Nation : The Dark Side of the All-American Meal 
3950967,747599874,J.K. Rowling,2007,The Tales of Beedle the Bard
22328,441569595,William Gibson,1984,Neuromancer
10799,99910101,Ernest Hemingway,1929,A Farewell to Arms
391729,553212281,Edgar Allan Poe,1843,The Tell-Tale Heart
10534,1590302257,"Sun Tzu, Thomas Cleary",-500,孫子兵法 [Sūnzi bīngfǎ]
11367726,385344228,William Landay,2012,Defending Jacob
4980,385334206,Kurt Vonnegut Jr.,1973,Breakfast of Champions
627206,874774241,Betty Edwards,1979,Drawing on the Right Side of the Brain
5826,60838728,Ann Patchett,2001,Bel Canto
1842,739467352,Jared Diamond,1997,"Guns, Germs, and Steel: The Fates of Human Societies"
9375,375508414,Fannie Flagg,1987,Fried Green Tomatoes at the Whistle Stop Cafe
37781,385474547,Chinua Achebe,1958,Things Fall Apart
33722,385338694,Sophie Kinsella,2005,The Undomestic Goddess
567795,1881273156,Gary Chapman,1990,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
6948436,1416589643,Chris Cleave,2008,The Other Hand
3975774,031253275X,Alyson Noel,2009,Evermore
6327,590032496,"Roald Dahl, Quentin Blake",1983,The Witches
40440,743298020,Diane Setterfield,2006,The Thirteenth Tale
6479259,1595142509,Richelle Mead,2010,Spirit Bound
5996153,1595141987,Richelle Mead,2009,Blood Promise
3478,446676071,Nicholas Sparks,1998,Message in a Bottle
8683812,345521307,Paula McLain,2011,The Paris Wife
862041,545044251,J.K. Rowling,1998,Complete Harry Potter Boxed Set
16248068,62059963,Kiera Cass,2013,The Elite
119073,156001314,"Umberto Eco, William Weaver, Seán Barrett",1980,Il nome della rosa
46799,1416914633,"Beatrice Sparks, Anonymous",1971,Go Ask Alice
310612,802130208,"John Kennedy Toole, Walker Percy",1980,A Confederacy of Dunces
92303,158049580X,Oscar Wilde,1895,The Importance of Being Earnest
12127750,1423140605,Rick Riordan,2012,The Mark of Athena
34497,60855924,Terry Pratchett,1983,The Colour of Magic
4929,1400079276,"Haruki Murakami, Philip Gabriel",2002,海辺のカフカ [Umibe no Kafuka]
28877,525945563,Thomas Harris,1981,Red Dragon
41804,553803700,Isaac Asimov,1950,"I, Robot"
42899,451216954,J.R. Ward,2005,Dark Lover
